Species	Charge	2S+1	State	NElec,corr	N_alpha,corr	N_beta,corr	NSpatial,orb	NDets	NConfigs	RHF/ROHF	FCI energy	RAM, MB	cores	Machine	Disk	Time/iter	Time unit						CIprog	SCFprog
H	0	2	1	1	1	0					-0.4993343154							aug-	cc-p	V	2Z		MOLPRO	MOLPRO
H	0	2	1	1	1	0					-0.499821176							aug-	cc-p	V	3Z		MOLPRO	MOLPRO
H	0	2	1	1	1	0					-0.4999483215							aug-	cc-p	V	4Z		MOLPRO	MOLPRO
H	0	2	1	1	1	0					-0.4999947846							aug-	cc-p	V	5Z		MOLPRO	MOLPRO
H	0	2	1	1	1	0					-0.4999992764							aug-	cc-p	V	6Z		MOLPRO	MOLPRO
H	0	2	1	1	1	0					-0.4999992764							aug-	cc-p	V	6Z		MRCC	
H	0	2	1	1	1	0					-0.4999997526							aug-	cc-p	V	7Z		MOLPRO	MOLPRO
H	0	2	1	1	1	0					-0.4999997526							aug-	cc-p	V	7Z		MRCC	
H	0	2	1	1	1	0					-0.4999999668							aug-	cc-p	V	8Z(i)		MOLRPRO	MOLRPRO
H	0	2	1	1	1	0					-0.4999999669							aug-	cc-p	V	8Z(i)		MRCC	
H	0	2	1	1	1	0					-0.4999999669							aug-	cc-p	V	8Z		MRCC	
H	0	2	1	1	1	0					-0.4999999774							aug-	cc-p	V	9Z(i)		MOLPRO	MOLPRO
H	0	2	1	1	1	0					-0.4999999774							aug-	cc-p	V	9Z		MRCC	
H	0	2	1	1	1	0					-0.4999999807								cc-p	V	10Z(l)		MRCC	
H	0	2	1	1	1	0	1				-0.4191							ECG						
H	0	2	1	1	1	0	2				-0.4855							ECG						
H	0	2	1	1	1	0	3				-0.49683							ECG						
H	0	2	1	1	1	0	4				-0.499208							ECG						
H	0	2	1	1	1	0	5				-0.499776							ECG						
H	0	2	1	1	1	0	10				-0.49999868							ECG						
H	0	2	1	1	1	0	15				-0.4999999742							ECG						
H	0	2	1	1	1	0	20				-0.4999999991							ECG						
H	0	2	1	1	1	0	25				-0.5							ECG						
H	0	2	1	1	1	0	40				-0.5							ECG						
He	0	1	1	2	1	1	2			-2.835679874	-2.8505767	0		2 sockets x 16 cores per socket, AMD Opteron @ 2.3 GHz	/work/	0.01	min	3-	21-	G			MRCC	
He	0	1	1	2	1	1	298	88804	12049	-2.861679822	-2.903606152	14296.3	32	2 sockets x 16 cores per socket, AMD Opteron @ 2.3 GHz	/work/	6	min	Helmann			8Z		MRCC	CFOUR
He	0	1	1	2	1	1	9	81		-2.855704668	-2.889548485										2Z		MOLPRO	MOLPRO
He	0	1	1	2	1	1	2	4		-2.835679874	-2.8505767							3-	21-	G			MOLPRO	MOLPRO
He	0	1	1	2	1	1	23	529		-2.861183426	-2.900597923										3Z		MOLPRO	MOLPRO
He	0	1	1	2	1	1	2	4		-2.855160426	-2.870162139							4-	21-	G			MOLPRO	MOLPRO
He	0	1	1	2	1	1	46	2116		-2.861521996	-2.902533599										4Z		MOLPRO	MOLPRO
He	0	1	1	2	1	1	80	6400		-2.861626929	-2.90320053										5Z		MOLPRO	MOLPRO
He	0	1	1	2	1	1	16	256		-2.855160426	-2.893001119							6-	31-	G3df3pd			MOLPRO	MOLPRO
He	0	1	1	2	1	1	2	4		-2.855160426	-2.870162139							6-	31-	G			MOLPRO	MOLPRO
He	0	1	1	2	1	1	2	4		-2.855160426	-2.870162139							6-	31-	G	*		MOLPRO	MOLPRO
He	0	1	1	2	1	1	5	25		-2.855160426	-2.887365028							6-	31-	G	**		MOLPRO	MOLPRO
He	0	1	1	2	1	1	127	16129		-2.861673129	-2.903455353										6Z		MOLPRO	MOLPRO
He	0	1	1	2	1	1	127	16129		-2.861183426	-2.900597923										6Z		MOLPRO	MOLPRO
He	0	1	1	2	1	1	1	1		-2.807783958	-2.807783958							STO-	3G				MOLPRO	MOLPRO
He	0	1	1	2	1	1	1	1		-2.846292095	-2.846292095							STO-	6G				MOLPRO	MOLPRO
Li2	0	1	1	6	3	3					-14.90276399								cc-p	V	2Z	-DK	MOLPRO	MOLPRO
