2z:
Total CCSD energy [au]:             -14.895703 639857
Total CCSD(T) energy [au]:          -14.895771 889902
Total CCSDT energy [au]:            -14.895783 727867
Total CCSDT(Q)/A energy [au]:       -14.895783 869150
Total CCSDT(Q)/B energy [au]:       -14.895783 867266
Total CCSDTQ energy [au]:           -14.895783 909330
Total CCSDTQ(P)/A energy [au]:      -14.895783 909443
Total CCSDTQ(P)/B energy [au]:      -14.895783 909444
Total CCSDTQP energy [au]:          -14.895783 909369
Total CCSDTQP energy [au]:          -14.895783 909401 
Total CC(5)(6)/A energy [au]:       -14.895783 909401
Total CC(5)(6)/B energy [au]:       -14.895783 909401
Total CC(6) energy [au]:            -14.895783 909691

